Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Aaron Holiday,33,33,37.7,6.4,13.9,0.461,3.8,7.7,0.486,2.7,6.2,0.429,4.8,5.8,0.828,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3
2,Kris Wilkes,33,32,29.8,4.8,11,0.441,3.2,6.2,0.51,1.7,4.8,0.352,2.3,3.5,0.655,1.3,3.6,4.9,1.7,0.8,0.5,1.3,2.5,13.7
3,Thomas Welsh,33,33,33.2,4.9,10.1,0.485,3.5,6.7,0.527,1.4,3.4,0.402,1.5,1.8,0.828,2.6,8.2,10.8,1.4,0.7,0.9,1,2.4,12.6
4,Jaylen Hands,31,15,25.2,3.3,8.1,0.405,1.9,4.4,0.431,1.4,3.7,0.374,1.9,2.6,0.738,0.6,3.4,4,2.6,1,0.2,1.8,1.6,9.9
5,Prince Ali,33,22,22.9,3.1,7.1,0.44,2,4.1,0.5,1.1,3,0.36,1.8,2.8,0.641,0.7,2.4,3.1,1.4,0.8,0.2,1.4,1.8,9.1
6,Gyorgy Goloman,33,30,24.4,2.6,4.7,0.548,2,3.4,0.593,0.5,1.3,0.429,1.4,2.3,0.627,1.6,2.6,4.2,1.2,0.6,1.3,1,3.5,7.1
7,Alex Olesinski,33,0,17.9,1.5,2.9,0.526,1,1.5,0.667,0.5,1.3,0.364,1,1.4,0.711,1.3,2.6,3.9,0.5,0.3,0.5,0.5,2.3,4.5
8,Chris Smith,33,0,13.1,1.4,3.2,0.439,1.3,2.4,0.532,0.2,0.8,0.179,0.9,1.6,0.585,0.5,1.4,1.9,0.5,0.2,0.2,1.2,1.2,3.9
9,Alec Wulff,10,0,2.4,0.3,0.6,0.5,0,0.1,0,0.3,0.5,0.6,0.2,0.2,1,0,0,0,0.2,0.1,0,0.1,0.1,1.1
10,Isaac Wulff,2,0,1.5,0,1.5,0,0,0.5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.5,1
11,Ikenna Okwarabizie,8,0,3.6,0.4,0.6,0.6,0.4,0.5,0.75,0,0.1,0,0,0,,0.3,0.9,1.1,0,0.1,0.1,0.1,0.5,0.8
12,Armani Dodson,2,0,1.5,0,0,,0,0,,0,0,,0,0,,0.5,0.5,1,0,0,0,0,0.5,0
13,Joseph Wallace,2,0,1.5,0,0,,0,0,,0,0,,0,0,,0.5,0,0.5,0,0,0,0,0,0
